vid,vid_start_date,Timestamp,video_offset,set
2022_bird03_video_01.mp4,2022-01-07 11:33:37.200000+00:00,2022-01-07 11:34:39+00:00,-61.8,1
2022_bird03_video_02.mp4,,,,0
